id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1992119948009677055","2025-11-22 13:36:22 +07:00","Candace Owens says the Macron family paid someone to have her assassinated.\n\nShe claims this warning came directly from a high-ranking official inside the French government.\n\nAccording to Owens, one Israeli operative is part of the assassination team and the plans were fully organized.\n\nThe same French official also told her that Charlie Kirk’s assassin trained with the French Legion’s 13th Brigade and that multiple governments were involved.","[{""type"":""photo"",""url"":""https://t.co/Dot9vhNDRD"",""thumbnail"":""https://pbs.twimg.com/media/G6VuiS6XEAAnBPO?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G6VuiS6XEAAnBPO?format=jpg&name=orig""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",19142,5317,1013,205,1012,555999,false,false,false,"https://twitter.com/ShadowofEzra/status/1992119948009677055"
"1992133074155721147","2025-11-22 14:28:31 +07:00","What’s the lore behind your header?","[]","Blosept1","Blossom 🌸","https://pbs.twimg.com/profile_images/1990340318479142912/EOxWABGk_normal.jpg","1990340019220054016","null","null","null","[]",43954,4766,19525,93795,8102,663737205,false,false,false,"https://twitter.com/Blosept1/status/1992133074155721147"
"1992207870163636377","2025-11-22 19:25:44 +07:00","It is undeniable that the rise of Protestantism gave more power to the state and less power to the church.\n\nAsk yourself if that is a good thing. https://t.co/iYlhRBV3vC","[{""type"":""photo"",""url"":""https://t.co/iYlhRBV3vC"",""thumbnail"":""https://pbs.twimg.com/media/G6W-eTxXwAAXVPq?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/G6W-eTxXwAAXVPq?format=png&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",689,45,34,8,98,20601,false,false,false,"https://twitter.com/poperespecter1/status/1992207870163636377"
"1992209838600790156","2025-11-22 19:33:33 +07:00","RT @Clintonshaw88: Today, I was confirmed into the Holy Catholic and Apostolic Church.\nIt wasn’t easy. Honestly, it was one of the hardest…","[{""type"":""photo"",""url"":""https://t.co/nU2fLciZLZ"",""thumbnail"":""https://pbs.twimg.com/media/G6VyfnjaMAAPrMU?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G6VyfnjaMAAPrMU?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992124306760106259","null","[]",0,733,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992209838600790156"
"1992226849628250447","2025-11-22 20:41:09 +07:00","Prior to the Reformation, kings feared excommunication as it could undermine their legitimacy and make their power structure unstable. After the Reformation, Papal excommunications were shrugged at. Kings took church property, ignored church teaching, and allowed secularism to rise.","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","1992207870163636377","null","null","[]",106,5,2,0,2,2532,false,false,false,"https://twitter.com/poperespecter1/status/1992226849628250447"
"1992228792572719566","2025-11-22 20:48:52 +07:00","Without the Reformation, the rise of secularism, communism, the French Revolution, etc would all be impossible to conceive of. \n\nThe degeneracy of modern society is a direct result.","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","1992226849628250447","null","null","[]",115,5,4,1,10,2262,false,false,false,"https://twitter.com/poperespecter1/status/1992228792572719566"
"1992230009625284708","2025-11-22 20:53:42 +07:00","Rep. Tim Burchett says the feud between President Trump and Marjorie Taylor Greene is really about one thing, Israel.\n\nHe says Greene is furious over Israel’s influence inside Trump’s cabinet and how tightly he’s aligned himself with it.\n\nBurchett says he doesn’t see any chance of the two ever patching things up.","[{""type"":""video"",""url"":""https://t.co/oeqFD92u4N"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1992229955061645312/pu/img/mD5jNAtOGPHZuQy9.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1992229955061645312/pu/vid/avc1/1280x720/iRidBFj-NJpJc5vT.mp4?tag=19""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",6721,1338,451,80,312,471369,false,false,false,"https://twitter.com/ShadowofEzra/status/1992230009625284708"
"1992240902899953887","2025-11-22 21:36:59 +07:00","@ThePrimeagen @ChrisRozenbachs They are one of the most useful tools in programming. I think beginning programmers shy away from them because of the pain of having errors happen, but of course it's much better than stuff being silently wrong.","[]","Jonathan_Blow","Jonathan Blow","https://pbs.twimg.com/profile_images/1401668183367454721/TV-_W9uO_normal.jpg","107336879","1992074795983487250","null","null","[]",264,3,33,0,7,6016,false,false,false,"https://twitter.com/Jonathan_Blow/status/1992240902899953887"
"1992242445124612410","2025-11-22 21:43:07 +07:00","@Jonathan_Blow @ThePrimeagen Yeah, my take is that once a bug occurs later in the code, it becomes much easier to narrow down where it came from. Is that correct?\nHave you done a video on this with game programming?","[]","ChrisRozenbachs","Christoffer Rozenbachs","https://pbs.twimg.com/profile_images/1835082850623803392/KQU7PkFc_normal.jpg","31494370","1992240902899953887","null","null","[]",2,0,0,0,1,1772,false,false,false,"https://twitter.com/ChrisRozenbachs/status/1992242445124612410"
"1992260201337262191","2025-11-22 22:53:41 +07:00","@Jonathan_Blow @ThePrimeagen @ChrisRozenbachs It'd be interesting if assert had a more hierarchical approach like type/invariant gates in JIT, where if the invariant for a type specialization for ex. is not met, you're kicked back to interpreted mode. You throw an assert &amp; catch it up the call stack. What should we call it🤔","[]","unit_accord","Unit Accord","https://pbs.twimg.com/profile_images/1967596069446909952/vRmLkeTb_normal.jpg","1626616908848955399","1992240902899953887","null","null","[]",2,0,0,0,1,836,false,false,false,"https://twitter.com/unit_accord/status/1992260201337262191"
"1992293138447159325","2025-11-23 01:04:33 +07:00","RT @poperespecter1: It is undeniable that the rise of Protestantism gave more power to the state and less power to the church.\n\nAsk yoursel…","[{""type"":""photo"",""url"":""https://t.co/iYlhRBV3vC"",""thumbnail"":""https://pbs.twimg.com/media/G6W-eTxXwAAXVPq?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/G6W-eTxXwAAXVPq?format=png&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992207870163636377","null","[]",0,45,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992293138447159325"
"1992298592024039566","2025-11-23 01:26:14 +07:00","RT @thdxr: it's so embarrassing when software engineers act like someone is getting unpaid labor out of them\n\n""this company interviewed me…","[]","Jonathan_Blow","Jonathan Blow","https://pbs.twimg.com/profile_images/1401668183367454721/TV-_W9uO_normal.jpg","107336879","null","1992248928532582513","null","[]",0,61,0,0,0,1,false,false,false,"https://twitter.com/Jonathan_Blow/status/1992298592024039566"
"1992298706247553516","2025-11-23 01:26:41 +07:00","Breaking: Pope Leo XIV calls for more care in granting annulments. Tells clerics to avoid ""false mercy"". https://t.co/bkvUZJEljQ","[{""type"":""photo"",""url"":""https://t.co/bkvUZJEljQ"",""thumbnail"":""https://pbs.twimg.com/media/G6YRHGBWgAE9lzX?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/G6YRHGBWgAE9lzX?format=png&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",2400,145,116,13,83,67170,false,false,false,"https://twitter.com/poperespecter1/status/1992298706247553516"
"1992299117603889346","2025-11-23 01:28:19 +07:00","Full story \nhttps://t.co/nK1mvIxbk5","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","1992298706247553516","null","null","[]",56,4,10,0,4,5754,false,false,false,"https://twitter.com/poperespecter1/status/1992299117603889346"
"1992303908165722467","2025-11-23 01:47:21 +07:00","RT @cnalive: In a firm call to avoid “false mercy” in marriage annulment proceedings, Pope Leo XIV reminded that compassion cannot disregar…","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992246701160054817","null","[]",0,62,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992303908165722467"
"1992307068750200928","2025-11-23 01:59:55 +07:00","When you're trying to solve a bug, and the process is slow and takes a long time, often it's because you're confused, and some thing that you thought was true was actually not true, and it can take a long time to figure that out. Assertions reduce this kind of situation drastically, both in the evolution of the code (because things you thought were true, but weren't, get weeded out and fixed early) and during the debugging session (you can look at asserts and see textual reminders of what is known to be true right now).","[]","Jonathan_Blow","Jonathan Blow","https://pbs.twimg.com/profile_images/1401668183367454721/TV-_W9uO_normal.jpg","107336879","1992242445124612410","null","null","[]",15,0,4,0,2,1037,false,false,false,"https://twitter.com/Jonathan_Blow/status/1992307068750200928"
"1992307188379914727","2025-11-23 02:00:23 +07:00","Laura Loomer says she is the type of person that never forgives and is praying for the complete destruction of Marjorie Taylor Greene.\n\nLoomer has designated Greene as her personal enemy and says there will be no room for friendship.\n\n“I wish her nothing but the worse.” https://t.co/axSiANuaeq","[{""type"":""video"",""url"":""https://t.co/axSiANuaeq"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1992307163264380928/pu/img/GlwXmbm3Jzsok-Bb.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1992307163264380928/pu/vid/avc1/1070x608/bV1eazRY5b9G8qq2.mp4?tag=19""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",2883,541,337,284,2553,781818,false,false,false,"https://twitter.com/ShadowofEzra/status/1992307188379914727"
"1992328314380578935","2025-11-23 03:24:20 +07:00","@nonlinear_james @ThePrimeagen Somehow, File Pilot does more and is tremendously faster.","[]","Jonathan_Blow","Jonathan Blow","https://pbs.twimg.com/profile_images/1401668183367454721/TV-_W9uO_normal.jpg","107336879","1992110394903556247","null","null","[]",8,0,0,0,0,804,false,false,false,"https://twitter.com/Jonathan_Blow/status/1992328314380578935"
"1992329260602921411","2025-11-23 03:28:06 +07:00","Pope Leo is getting ready to deal with Germany.","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","1992247962865652099","[]",490,24,31,1,11,24921,false,false,false,"https://twitter.com/poperespecter1/status/1992329260602921411"
"1992344057113452943","2025-11-23 04:26:53 +07:00","Frank Turek, a close friend of Charlie Kirk, says he is now fearing for his life as he and Kirk’s chief of staff, Mikey McCoy, have been receiving death threats, which they are blaming on Candace Owens.\n\nTurek insists there is no “grand conspiracy” targeting Kirk and urges people to stop spreading such claims before someone actually gets hurt.\n\n“They cannot all be involved.”","[{""type"":""video"",""url"":""https://t.co/VoNFd1UN39"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1992343933385363456/pu/img/Z5yBfJAuUyK__xgy.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1992343933385363456/pu/vid/avc1/720x1280/FLKDTYdgaoVeeN8t.mp4?tag=19""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",852,249,207,70,872,153144,false,false,false,"https://twitter.com/ShadowofEzra/status/1992344057113452943"
"1992359176044175703","2025-11-23 05:26:58 +07:00","RT @poperespecter1: Pope Leo is getting ready to deal with Germany.","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992329260602921411","null","[]",0,24,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992359176044175703"
"1992382728617222242","2025-11-23 07:00:33 +07:00","RT @oxcrowx: &gt; Dragon book\n\nHow you know someone does not develop compilers.","[]","Jonathan_Blow","Jonathan Blow","https://pbs.twimg.com/profile_images/1401668183367454721/TV-_W9uO_normal.jpg","107336879","null","1992277101291204664","null","[]",0,42,0,0,0,"null",false,false,false,"https://twitter.com/Jonathan_Blow/status/1992382728617222242"
"1992390207673364623","2025-11-23 07:30:16 +07:00","The Department of Homeland Security has unveiled a massive billion-dollar push to upgrade security screening tech at airport checkpoints, framing it as essential for national security.\n\nThe expansion will bring biometric scanning directly into the immigration process.\n\nIt would also give the agency wider authority to collect fingerprints, DNA, facial scans, and iris data.","[{""type"":""video"",""url"":""https://t.co/BWrnaEkM3Z"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1992390168041369600/pu/img/T-UJP_5yFfZAAumi.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1992390168041369600/pu/vid/avc1/848x464/pqQakxMZK7-U69sF.mp4?tag=19""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",2993,1183,700,501,1452,855278,false,false,false,"https://twitter.com/ShadowofEzra/status/1992390207673364623"
"1992394592147456188","2025-11-23 07:47:42 +07:00","""The gates of hell will not prevail against the church..."" https://t.co/MPgqUFPRGL","[{""type"":""video"",""url"":""https://t.co/MPgqUFPRGL"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1992394440745394176/img/0T1jvaKs_Al_r0Z4.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1992394440745394176/vid/avc1/1280x720/UtSofCZItlcUJh25.mp4?tag=21""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",2235,210,197,8,69,25556,false,false,false,"https://twitter.com/poperespecter1/status/1992394592147456188"
